species,num_genomes,rep_number,centroid_90,centroid_99
988598,47,6,4506,6603
988598,4,0,2406,2575
988598,47,8,4382,6440
988598,4,3,2203,2711
988598,4,5,2952,3577
988598,4,2,2534,2862
988598,4,4,2426,2693
988598,4,8,2092,2287
988598,4,6,2226,2522
988598,52,1,4577,6774
783244,21,8,2183,8074
988598,4,9,2346,2545
988598,4,7,2998,3876
988598,52,2,4497,6832
988598,52,0,4354,6662
988598,52,3,4413,6563
988598,52,5,4300,6334
988598,52,6,4816,7404
988598,52,9,4586,7034
988598,52,4,5033,7435
988598,52,8,4445,6710
571325,3,3,1543,1554
988598,52,7,4844,7241
988598,58,0,4863,7544
988598,58,1,4956,7601
988598,58,3,4606,7115
988598,58,4,4362,6162
988598,58,5,4781,7115
988598,58,6,4490,7145
988598,58,2,4475,6780
988598,58,7,4219,6182
988598,5,0,2355,2647
571325,2,4,1520,1530
988598,58,8,4517,7158
988598,58,9,5030,7940
988598,5,2,2665,3460
988598,5,3,2430,2712
988598,5,1,2739,3140
988598,5,5,2292,2703
988598,5,6,3231,4265
988598,5,7,2247,2479
988598,5,8,2369,2593
988598,5,9,2432,2757
571325,6,8,1685,1732
988598,6,4,2652,3213
988598,6,0,2743,3157
988598,6,3,3248,4122
988598,6,2,2440,2741
988598,6,1,2792,3638
988598,6,6,2608,2924
988598,6,7,2491,2735
988598,6,5,3326,4390
988598,6,9,2939,3497
988598,7,1,2731,3141
571325,2,8,1497,1507
988598,6,8,2447,2799
988598,7,0,2837,3725
988598,7,2,3455,4461
988598,7,6,2633,2925
988598,7,3,2819,3694
988598,7,4,3342,4438
988598,7,5,2618,2967
988598,7,7,2846,3355
988598,7,8,2984,3575
988598,8,1,3456,4479
783244,12,1,1855,5398
988598,7,9,2526,2961
988598,8,0,2731,3151
988598,8,4,2661,3030
988598,8,2,3009,4010
988598,8,3,3389,4519
988598,8,6,2859,3409
988598,8,5,2772,3129
988598,9,1,3174,4286
988598,8,8,2536,2981
988598,8,9,2493,2832
571325,4,0,1438,1448
988598,9,0,3455,4488
988598,9,2,3453,4659
988598,9,5,2888,3470
988598,9,3,2796,3283
988598,9,6,3024,3671
988598,9,8,2595,3028
988598,9,4,2855,3380
988598,9,9,2715,3234
988598,9,7,2719,3341
988598,8,7,3015,3647
783244,12,8,1785,5299
988598,5,4,3160,3925
571325,4,5,1637,1701
571325,3,5,1264,1271
571325,5,5,1613,1699
783244,12,0,1810,5616
783244,14,1,1820,5481
783244,14,0,1901,5969
783244,12,6,1749,5453
783244,12,9,1651,5330
783244,12,7,1733,5224
783244,14,5,1763,5539
783244,14,3,1723,4671
783244,14,2,1922,5781
783244,14,6,1857,5686
783244,12,5,1661,4237
783244,14,4,1793,5927
783244,14,7,1706,5873
783244,15,1,1946,5889
783244,14,8,1808,5998
783244,15,2,1757,5046
783244,15,0,1856,5811
783244,15,6,1742,6141
783244,14,9,1797,5208
783244,29,8,2337,9236
783244,15,5,1900,5919
571325,6,6,1693,1768
