cluster_90_id	Dysp_0020	VMG_0002	Dysp_0056	Dysp_0004	Dysp_0120	Dysp_0008	Dysp_0032	Dysp_0152	Dysp_0083	VMG_0073	VMG_0080	Dysp_0007	VMG_0006	Dysp_0109	VMG_0038	Dysp_0123	VMG_0118	VMG_0024	VMG_0066	Dysp_0041	VMG_0001	VMG_0048	Dysp_0139	Dysp_0163	VMG_0072	VMG_0156	VMG_0057	VMG_0081	VMG_0159	VMG_0139	Dysp_0097	Dysp_0098	VMG_0147	Dysp_0108
ERR10897622.sbin.4_01558	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897622.sbin.4_01671	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR13694814.sbin.11_00928	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
SRR17635545.sbin.2_00006	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1
ERR10897611.sbin.1_01264	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0
ERR10897622.sbin.4_00330	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
ERR10897622.sbin.4_00335	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1
ERR10898089.sbin.8_01069	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1
SRR17635662.mbin.1_01093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10897611.sbin.1_00504	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1
