genome,species,representative,genome_is_representative,database,genome_type,species_name,source
MG884.mbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17635712.sbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635647.mbin.29,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR3500819.mbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG486.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG201.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR21425824.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR17635620.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG352.sbin.22,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG486.mbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG82.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16916891.mbin.15,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1042.sbin.26,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897840.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
P10708738.sbin.3,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709460.mbin.20,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR16916855.mbin.23,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_002894105.1,783244,ERR10897722.mbin.1,0,shared,isolate,Bifidobacterium vaginale,FRT
GCF_023277685.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
