genome,species,representative,genome_is_representative,database,genome_type,species_name,source
MG1267.mbin.16,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG84.mbin.11,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG720.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1193.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR16471035.mbin.2,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG101.mbin.12,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR13167654.mbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG988.sbin.19,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR12830925.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897726.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1331.mbin.25,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1024.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SAMN00062437.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG835.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635496.sbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10897697.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1327.sbin.8,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635603.mbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10897693.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898311.mbin.4,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
P10709461.mbin.8,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897883.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635526.sbin.12,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897682.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635575.mbin.5,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635705.sbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR6748007.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897821.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635551.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12830923.sbin.3,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17635520.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897784.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17635598.mbin.5,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR10258543.sbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG852.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR13694814.sbin.12,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10897633.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
P10709259.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635587.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17284187.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635474.mbin.14,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635663.sbin.4,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR21425790.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR16916879.mbin.12,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1430.sbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR13167623.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR3500855.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897820.mbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR16916859.mbin.7,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG127.sbin.3,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10897591.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635665.sbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG1211.mbin.23,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1114.mbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10898310.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1323.mbin.21,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG55.mbin.21,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635541.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1264.mbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG275.sbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897927.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1514.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR19237615.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG985.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897703.mbin.3,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SAMN00072629.sbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG105.sbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1351.mbin.3,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR10898011.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898177.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17284256.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898174.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897727.mbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR3500845.sbin.3,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
GCF_003585655.1,783244,ERR10897722.mbin.1,0,shared,isolate,Bifidobacterium vaginale,FRT
SRR17635535.sbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SAMN00033512.sbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
P10708738.mbin.3,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR17635501.sbin.8,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635623.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR3500823.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG597.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897843.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR18765393.mbin.5,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR17635462.sbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10898144.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10897773.sbin.7,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10898251.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG168.sbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897685.mbin.5,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
P10709452.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10897885.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1268.sbin.5,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR17635601.sbin.8,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG157.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SAMN00147431.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG853.mbin.3,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG1372.sbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR13167586.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1277.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG1367.mbin.6,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG111.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR11749282.mbin.8,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR21425786.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1194.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG949.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1083.mbin.14,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10898173.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471049.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG59.mbin.2,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
P10709259.mbin.2,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR17635692.mbin.6,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SAMN00034152.sbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG1335.mbin.19,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10710053.mbin.7,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR3500838.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1155.mbin.17,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG542.sbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1232.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG952.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR2175803.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
PV46.sbin.3,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG201.mbin.5,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635728.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SAMN00031116.mbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
P10709104.mbin.10,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR10897926.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG209.mbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG700.mbin.2,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR13900359.mbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG823.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167633.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_019277975.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR12018878.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10898190.sbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG519.mbin.9,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635591.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635553.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG548.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898246.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898172.sbin.3,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR3500822.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR10258566.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR21425832.sbin.6,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709120.mbin.11,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG164.mbin.4,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR13167684.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709098.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898166.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471072.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10898034.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17284156.sbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR12018815.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG692.sbin.18,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG335.mbin.5,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709465.mbin.11,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR3500835.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR3500844.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17284227.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1281.sbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR2175824.sbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG229.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1364.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17635641.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1082.mbin.9,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17284208.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1117.sbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167589.sbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR17635741.sbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG667.mbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635602.sbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG176.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12018893.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG340.mbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10898238.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635484.mbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR17635724.mbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10897770.sbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR13167587.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG434.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG661.mbin.13,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10898220.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG407.mbin.18,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR10897942.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897940.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG307.mbin.10,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635576.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10708987.mbin.23,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635527.mbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635686.sbin.5,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG565.mbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR16470958.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR5273979.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG401.mbin.11,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG968.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635511.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897792.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709013.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR5274056.mbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG499.sbin.15,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
PV56.sbin.21,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1110.mbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG333.mbin.7,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR10898137.mbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG441.sbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709798.mbin.7,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR11749262.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12018911.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635544.sbin.3,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SAMN00146650.mbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10897585.mbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635643.mbin.3,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10897708.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10898082.sbin.8,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG851.mbin.14,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1169.mbin.19,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR12018825.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10898011.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1208.mbin.14,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG978.mbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635583.mbin.3,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR17635694.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR4421616.mbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10897816.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG343.mbin.9,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SAMN00081569.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10898042.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR11749263.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR2175761.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1278.mbin.21,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635552.sbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
ERR10898049.mbin.10,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1115.mbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG1060.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR12830911.mbin.33,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167724.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG431.sbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897747.mbin.1,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR13167599.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR17635637.sbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR12018850.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG313.mbin.14,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709681.sbin.41,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG118.sbin.3,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SAMN00143911.sbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
ERR10898255.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10710013.mbin.7,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR10897717.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1269.sbin.9,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG1173.mbin.4,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR12018796.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10898107.sbin.2,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
ERR10897587.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG211.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG983.mbin.8,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1059.mbin.2,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG860.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG853.sbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR11749290.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG61.mbin.31,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
PV32.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1378.sbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
MG1418.mbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
SRR21425816.sbin.1,571325,GCF_027155795.1,0,VMGC,MAG,Lactobacillus jensenii,FRT
MG610.mbin.5,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
