,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory,species
170195,GCF_008694765.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170196,GCF_008694765.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170197,GCF_008694775.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,turkey,,,,feces,,,"Microbe, viral or environmental",,,100122
170198,GCF_008694775.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,turkey,,,,feces,,,"Microbe, viral or environmental",,,100122
170199,GCF_008694785.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (GI tract),,,"Microbe, viral or environmental",,,100122
170200,GCF_008694785.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (GI tract),,,"Microbe, viral or environmental",,,100122
170201,GCF_008694845.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170202,GCF_008694845.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170203,GCF_008694865.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170204,GCF_008694865.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170205,GCF_008694875.1,Lactobacillus crispatus NCK strains,,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
170206,GCF_008694875.1,"The Lactobacillus genus, a use case for Bactopia.",,,Microbe sample from Lactobacillus crispatus,,chicken,,,,gut (caecum),,,"Microbe, viral or environmental",,,100122
